run_id,timestamp_utc,git_commit,dataset,backend,condition,pool_bytes,old_blocks_time_ms,workload,block,pattern,segment,variant,query_id,repetition,outcome,failure_reason,elapsed_ms,rows_returned,result_hash,rep_ts_utc,d_pool_read_requests,d_pool_reads,d_pool_read_ahead,d_pages_made_young,d_pages_not_made_young,free_buffers_after,engine_version,python_version,kernel,cpu_model,ram_bytes
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_01_care_trip_share_total,4,ok,,172.528,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:51.442+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_02_mode_share,4,ok,,233.187,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:51.617+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_01_care_trip_share_total,5,ok,,166.996,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:51.853+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_02_mode_share,5,ok,,232.872,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:52.022+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_01_care_trip_share_total,0,warmup,,164.942,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:52.262+00:00,4929,0,0,3920,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_02_mode_share,0,warmup,,259.679,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:52.428+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_01_care_trip_share_total,1,ok,,165.151,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:52.691+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_02_mode_share,1,ok,,245.316,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:52.858+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_01_care_trip_share_total,2,ok,,169.954,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:53.105+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_02_mode_share,2,ok,,237.328,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:53.278+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_01_care_trip_share_total,3,ok,,161.081,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:53.517+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_02_mode_share,3,ok,,240.020,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:53.681+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_01_care_trip_share_total,4,ok,,176.501,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:53.923+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,4,blind,q_agn_02_mode_share,4,ok,,253.335,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:54.102+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
